번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
1,물류관리론,LM01,중,"물류시스템의 운영에 관한 설명으로 가장 적절하지 않은 것은?","","물류시스템은 조달·생산·판매 과정에서 발생하는 물자의 흐름과 정보를 상호 연계하여 관리한다.","물류관리에서는 고객서비스 수준과 물류비용을 함께 고려하여 시스템 성과를 평가할 필요가 있다.","운송·보관·하역·포장·정보 등 개별 기능의 의사결정은 다른 물류기능과 상호 영향을 주고받을 수 있다.","각 물류기능의 비용을 개별적으로 최소화하면 기능 간 상충관계와 관계없이 전체 물류비도 항상 최소화된다.","물류시스템의 투입자원에는 인적·물적·재무적·정보적 자원 등이 포함될 수 있다.",4,"물류시스템에서는 개별 기능의 부분최적화가 전체 시스템의 최적화를 보장하지 않는다. 예를 들어 운송비를 줄이기 위한 대량운송이 재고비용을 증가시킬 수 있으므로 기능 간 상충관계를 고려한 전체최적화가 중요하다."
2,물류관리론,LM03,하,"여러 기업이 공동수배송을 실시할 때 일반적으로 기대되는 효과로 가장 거리가 먼 것은?","","중복되는 배송노선과 차량운행을 줄일 수 있다.","참여기업별 차량의 공차운행 비율을 높여 개별 운송의 독립성을 강화할 수 있다.","화물을 통합하여 차량 적재율을 높이는 데 도움이 될 수 있다.","배송차량 감소를 통해 교통혼잡과 환경부하를 줄이는 데 기여할 수 있다.","공동운영을 통해 일부 물류인력과 시설의 중복을 줄일 수 있다.",2,"공동수배송은 여러 기업의 화물을 통합하여 적재율을 높이고 중복운행과 공차운행을 줄이는 데 목적이 있다. 따라서 공차운행 비율을 높이는 것을 효과로 보는 ②는 적절하지 않다."
3,물류관리론,LM03,중,"A·B·C 세 업체는 주문접수와 판매활동은 각각 독립적으로 수행하지만 동일 지역으로 출하되는 상품의 집하·보관·분류·배송을 하나의 공동 물류거점에서 통합하여 처리하기로 하였다. 이에 가장 가까운 공동수배송 운영형태는?","","노선집하공동형","납품대행형","공동수주·공동배송형","배송공동형","집배송공동형",5,"집배송공동형은 단순히 배송차량만 공동 이용하는 수준을 넘어 집하·보관·분류·배송 등 집배송 관련 물류활동을 공동화하는 방식이다. 판매나 주문 자체는 각 기업이 독립적으로 수행할 수 있으므로 제시된 사례에는 ⑤가 가장 적절하다."
4,물류관리론,LM03,중,"여러 화주와 물류기업이 공동수배송시스템을 구축하기 위한 조건으로 가장 적절하지 않은 것은?","","공동화에 적합하도록 화물과 포장단위의 규격화가 이루어지는 것이 바람직하다.","참여기업이 공동화의 목적과 기대효과에 대해 일정 수준의 공감대를 형성할 필요가 있다.","기업별 주문·배차·재고정보의 연계를 최소화하고 각 회사의 정보시스템을 완전히 분리하는 것을 우선하여야 한다.","공동배송지역과 배송빈도 등 운영기준에 관한 참여기업 간 협의가 필요하다.","비용과 성과의 배분기준을 사전에 명확히 마련하는 것이 공동운영의 지속성에 도움이 된다.",3,"공동수배송에서는 주문·배차·재고·배송정보 등을 적절히 공유하거나 연계할 필요가 있다. 기업 간 정보연계를 의도적으로 최소화하면 공동계획과 차량운영의 효율성이 낮아질 수 있으므로 ③이 적절하지 않다."
5,물류관리론,LM02,중,"물류조직의 설계와 유형에 관한 설명으로 가장 적절하지 않은 것은?","","예산규모가 적은 조직을 비공식조직·일정 규모의 조직을 준공식조직·예산규모가 큰 조직을 공식조직으로 구분하는 것이 일반적인 분류기준이다.","독립적인 물류부서를 설치하면 분산된 물류기능을 통합적으로 조정하기 쉬워질 수 있다.","기능별 조직에서는 운송·보관·재고관리 등 전문기능별 책임과 전문성을 명확히 할 수 있다.","매트릭스형 조직은 기능조직과 사업 또는 프로젝트 조직의 지휘체계를 함께 활용할 수 있다.","물류조직의 구조는 기업규모·물류전략·제품특성·시장환경 등에 따라 달라질 수 있다.",1,"물류조직을 비공식적·준공식적·공식적 조직으로 구분하는 것은 조직 내 물류기능의 공식화 정도와 권한·책임의 구조 등을 기준으로 이해하는 것이 적절하다. 단순히 물류예산의 크기에 따라 세 유형을 구분하는 것은 일반적인 분류기준이 아니다."
6,물류관리론,LM03,상,"물류표준화의 대상을 하드웨어와 소프트웨어로 구분할 때 하드웨어 표준화에 해당하는 것만을 모두 고른 것은? ㄱ. 팔레트의 치수와 형상 ㄴ. 물류거래에 사용되는 용어 ㄷ. 컨테이너의 규격 ㄹ. 자동창고 설비와 운반장비의 접속규격 ㅁ. 전자문서의 데이터 항목","","ㄱ·ㄴ","ㄴ·ㄷ·ㅁ","ㄱ·ㄷ","ㄱ·ㄷ·ㄹ","ㄷ·ㄹ·ㅁ",4,"하드웨어 표준화는 팔레트·컨테이너·물류시설·운반 및 하역장비 등 물리적 설비와 용기의 규격을 대상으로 한다. 물류용어나 전자문서 데이터 항목은 소프트웨어 측면의 표준화에 가깝다. 따라서 ㄱ·ㄷ·ㄹ인 ④가 옳다."
7,물류관리론,LM01,중,"기업이 물류시스템을 설계하면서 전략수준·구조수준·기능수준·실행수준으로 의사결정을 구분하고 있다. 다음 중 기능수준에서 주로 다루는 의사결정으로 가장 적절한 것은?","","기업 전체의 목표 고객서비스 수준과 장기 물류전략을 결정한다.","창고의 운영방식·재고보충정책·운송관리 방식 등 개별 물류기능의 운영체계를 설계한다.","전국 물류거점의 수와 입지를 결정하고 물류네트워크의 기본구조를 설계한다.","당일 피킹작업자의 세부 작업순서와 차량별 상차순서를 결정한다.","기업의 장기시장전략과 제품 포트폴리오를 결정한다.",2,"기능수준에서는 창고운영·자재 및 재고관리·수송관리 등 개별 물류기능의 관리방식을 설계한다. 네트워크 구조는 구조수준·장기 서비스목표는 전략수준·당일 작업지시는 실행수준에 보다 가깝다."
8,물류관리론,LM03,상,"물류모듈화와 유닛로드 표준화에 관한 설명으로 가장 적절하지 않은 것은?","","물류모듈화는 포장·팔레트·컨테이너·보관설비 등의 치수를 일정한 배수 또는 분할관계로 연계하는 데 활용할 수 있다.","유닛로드 치수의 표준화는 운송수단과 보관설비 사이의 상호 호환성을 높이는 데 도움이 된다.","팔레트와 포장치수가 체계적으로 연계되면 적재공간의 손실을 줄이는 데 도움이 될 수 있다.","물류모듈은 물류시설과 장비의 규격을 상호 연계하기 위한 기준치수 체계로 활용될 수 있다.","물류모듈을 적용하면 화물의 종류와 관계없이 모든 운송수단·포장·보관설비를 반드시 하나의 동일한 외형치수로 제작하여야 한다.",5,"물류모듈화의 목적은 물류기기와 포장·설비의 치수를 배수 또는 분할관계로 조정하여 호환성을 높이는 데 있다. 모든 물류수단을 완전히 동일한 하나의 외형치수로 만드는 것을 의미하지 않으므로 ⑤가 적절하지 않다."
9,물류관리론,LM03,중,"다음 그림은 동일한 직사각형 화물을 팔레트 위에 적재한 평면배열을 나타낸 것이다. 화물이 중앙을 중심으로 서로 방향을 바꾸어 회전하는 형태로 배치되어 있는 적재방법은?","images/questions/logistics/26회-1/q009.png","블록(Block) 적재","교대배열(Row) 적재","핀휠(Pinwheel) 적재","벽돌(Brick) 적재","스플릿(Split) 적재",3,"핀휠 적재는 직사각형 화물을 중심을 기준으로 방향을 차례로 바꾸어 풍차와 같은 형태로 배치하는 방식이다. 모든 화물의 방향을 동일하게 두는 블록 적재나 층별 방향을 교대로 바꾸는 방식과 구별된다."
10,물류관리론,LM02,중,"제약이론(TOC)을 활용한 관리기법에 관한 설명으로 가장 적절한 것은?","","DBR(Drum-Buffer-Rope)은 모든 공정에 동일한 생산능력을 확보하는 것을 우선하며 병목공정은 별도로 관리하지 않는다.","Thinking Process는 개별 부서의 부분성과를 최대화하는 것을 최종목표로 한다.","Throughput Accounting은 전통적인 원가배부를 세분화하는 데 초점을 둔 품질관리기법이다.","Critical Chain Project Management는 자원제약과 작업 간 의존관계를 고려하여 프로젝트 일정과 버퍼를 관리하는 기법이다.","TOC에서는 제약요인을 제거한 뒤 새로운 제약이 발생하더라도 추가적인 개선활동은 실시하지 않는다.",4,"CCPM은 TOC의 원리를 프로젝트 관리에 적용하여 작업 간 선후관계뿐 아니라 자원제약을 고려하고 프로젝트 버퍼 등을 활용하는 방법이다. DBR은 병목공정을 중심으로 흐름을 통제하며 Thinking Process는 전체최적화를 지향한다."
11,물류관리론,LM04,하,"RFID 시스템의 일반적인 특징에 관한 설명으로 가장 적절하지 않은 것은?","","태그와 리더가 직접 접촉하지 않아도 무선주파수를 이용하여 정보를 인식할 수 있다.","바코드와 비교하면 태그와 시스템 구축비용이 상대적으로 높을 수 있다.","태그의 종류에 따라 상품식별정보 외에 추가 데이터를 저장하거나 변경할 수 있다.","다수 태그를 비교적 짧은 시간에 동시에 인식할 수 있어 물류현장의 자동화에 활용할 수 있다.","RFID는 모든 태그를 반드시 한 개씩 리더에 밀착시켜야만 판독할 수 있으므로 일괄 인식에는 적합하지 않다.",5,"RFID는 비접촉식 무선인식기술로 다수의 태그를 동시에 인식할 수 있는 것이 대표적인 장점이다. 태그를 리더에 하나씩 밀착해야만 판독할 수 있다는 ⑤의 설명은 RFID의 특성과 반대이다."
12,물류관리론,LM04,중,"다음 그림은 EAN-13 형식의 바코드를 나타낸 것이다. 그림에서 A가 가리키는 마지막 한 자리 숫자의 주된 기능으로 가장 적절한 것은?","images/questions/logistics/26회-1/q012.png","앞의 숫자를 이용하여 산출하며 판독이나 입력 과정에서 발생할 수 있는 오류를 검출하는 데 활용한다.","상품을 제조한 기업의 생산공장 위치를 나타낸다.","상품의 판매가격을 직접 표시한다.","상품의 포장단위 수량을 나타내는 고정 코드이다.","유통기한을 숫자로 변환하여 표시한다.",1,"EAN-13의 마지막 한 자리는 체크 디지트(Check Digit)로 앞의 12자리 숫자를 일정한 방식으로 계산하여 구한다. 바코드를 판독하거나 숫자를 입력하는 과정에서 오류가 발생했는지를 확인하는 데 활용되므로 ①이 옳다."
13,물류관리론,LM04,중,"물류정보시스템 또는 정보기술 용어와 그 기능의 연결로 가장 적절하지 않은 것은?","","POS－판매시점에서 상품판매정보를 수집·처리하는 시스템","TRS－철도화물의 운송계획과 차량운용정보를 통합 관리하는 철도운영정보시스템","ITS－교통수단과 도로시설 등에 정보통신기술을 적용하여 교통효율과 안전성을 높이는 시스템","CVO－상용차량의 운행과 화물운송 효율화를 지원하는 정보화 개념","KROIS－철도운영과 관련된 차량·화물운송 등의 정보를 처리하는 시스템",2,"TRS는 주파수공용통신을 의미하며 여러 사용자가 일정한 주파수 자원을 공동으로 이용하는 이동통신방식이다. 철도운영정보를 통합 관리하는 시스템은 KROIS에 해당하므로 ②의 연결이 적절하지 않다."
14,물류관리론,LM06,상,"부품업체 B사는 주요 직원을 완성품업체 A사의 사업장에 상주시킨다. 해당 직원은 A사의 생산계획과 재고상황을 직접 파악하면서 필요한 부품의 발주·납품업무를 조정하고 양사가 제품개발 및 품질개선에도 공동으로 참여한다. 이러한 공급자와 구매자 간 협력방식으로 가장 적절한 것은?","","VMI","ECR","JIT-II","MRP","Cross Docking",3,"JIT-II는 공급업체의 담당자가 구매기업에 상주하면서 구매·발주·납품 등의 업무를 긴밀하게 조정하는 방식이다. 공급자와 구매자가 생산계획·제품개발·품질개선 등에 공동으로 참여하여 리드타임과 재고를 줄이는 데 목적이 있으므로 ③이 적절하다."
15,물류관리론,LM04,하,"물류정보기술에 관한 설명으로 가장 적절한 것은?","","QR코드는 가로와 세로 방향에 정보를 표현하는 2차원 코드로 일반적인 1차원 바코드보다 많은 정보를 저장할 수 있다.","IoT는 인간의 학습과 추론능력을 컴퓨터 프로그램으로 구현하는 인공지능 기술만을 의미한다.","ASP는 이용기업이 모든 정보시스템을 자체 개발하고 자체 서버에서만 운영하는 방식을 의미한다.","CIM은 운송차량의 위치만을 실시간 추적하기 위한 차량관제시스템을 의미한다.","RFID는 태그와 리더가 물리적으로 접촉해야만 데이터를 인식할 수 있다.",1,"QR코드는 가로와 세로 방향에 데이터를 표현하는 2차원 코드로 1차원 바코드보다 많은 정보를 저장할 수 있다. IoT는 사물 간 연결기술·ASP는 정보시스템 서비스 제공방식·CIM은 제조 관련 기능의 통합·RFID는 비접촉식 무선인식기술이므로 ①이 옳다."
16,물류관리론,LM05,중,"A기업의 연간 고정비는 9억원이고 제품의 단위당 판매가격은 75000원이다. 단위당 변동비가 45000원일 때 연간 손익분기점 판매량과 손익분기점 매출액의 조합으로 옳은 것은?","","30000개·22.5억원","20000개·15억원","25000개·18.75억원","30000개·18억원","45000개·33.75억원",1,"단위당 공헌이익은 75000－45000=30000원이다. 손익분기점 판매량은 900000000÷30000=30000개이며 손익분기점 매출액은 30000×75000=2250000000원으로 22.5억원이다. 따라서 ①이 옳다."
17,물류관리론,LM05,상,"기업물류비의 산정과 관리에 관한 설명으로 가장 적절하지 않은 것은?","","물류영역별로 조달물류비·사내물류비·판매물류비·역물류비 등으로 구분하여 파악할 수 있다.","기업물류비 산정지침은 물류전문기업에만 적용되고 제조업이나 유통업 등 화주기업에는 적용할 수 없다.","일반기준에 의한 물류비 산정에서는 관리회계적 접근을 활용하여 물류활동의 비용을 보다 상세하게 파악할 수 있다.","간이기준에 의한 산정은 기업이 이용할 수 있는 재무회계자료를 중심으로 물류비를 파악하므로 일반기준보다 정확한 활동별 비용파악에 한계가 있을 수 있다.","물류비를 일정한 기준으로 계속 산정하면 기간별 변화와 물류개선의 성과를 비교하는 데 활용할 수 있다.",2,"기업물류비 산정은 물류기업뿐 아니라 제조업·유통업 등 물류활동을 수행하는 화주기업에서도 활용할 수 있다. 따라서 적용대상을 물류전문기업으로만 한정한 ②가 적절하지 않다."
