번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
1,보관하역론,BH01. 보관론,중,"보관 원칙에 대한 설명으로 옳지 않은 것은?",,"무거운 화물은 일반적으로 하부에 배치하는 것이 바람직하다.","출고 빈도가 높은 품목은 작업이 편리한 위치에 보관한다.","동일하거나 유사한 품목은 가까운 위치에 배치하여 관리 효율을 높인다.","통로 표시의 원칙은 보관 위치와 선반 번호를 명확히 표시하는 것을 의미한다.","선입선출은 먼저 입고된 재고를 먼저 출고하는 방식이다.",4,"보관 위치와 선반 번호를 표시하는 것은 위치표시의 원칙이며, 통로대면의 원칙은 작업 접근성과 입출고 효율을 높이기 위해 통로를 고려하여 배치하는 것이다."
2,보관하역론,BH01. 보관론,상,"다음 물류센터 설계 고려요인 중 환경요인에 해당하는 것은?",images/questions/logistics/29회-2/q002.png,"ㄱ","ㄴ","ㄷ","ㄹ","ㅁ",4,"환경요인은 물류센터를 둘러싼 외부 입지환경과 관련된 요소로 지리적 위치, 임대료 수준, 인구 분포 등이 해당한다. ㄱ은 운영요인, ㄴ은 제품요인, ㄷ은 주문요인, ㅁ은 설비요인이므로 정답은 ④ ㄹ이다."
3,보관하역론,BH02. 하역론,상,"다음 설명 중 복합물류터미널의 특징으로 옳은 것을 모두 고른 것은?",images/questions/logistics/29회-2/q003.png,"ㄱ, ㄴ, ㄷ","ㄱ, ㄴ, ㄹ","ㄱ, ㄷ, ㅁ","ㄴ, ㄹ, ㅁ","ㄷ, ㄹ, ㅁ",1,"복합물류터미널은 해상·항공·철도·도로 등 둘 이상의 운송수단을 연계하여 환적 기능을 수행하고, 대규모 보관·하역시설을 갖추어 다양한 물류서비스를 제공하며, 운송·재고·위치정보 등을 통합 관리할 수 있다. 항만 배후지역에만 설치되는 시설이 아니며 단일 운송수단만을 이용하는 것도 아니다. 따라서 옳은 것은 ㄱ, ㄴ, ㄷ이다."
4,보관하역론,BH01. 보관론,하,"다음 중 보관 기능에 해당하지 않는 것은?",,"재고의 물리적 보존","제품의 시간적 효용 창출","수급 조절 기능","고객 서비스 향상","장소적 효용 창출",5,"장소적 효용 창출은 운송의 대표적인 기능이며, 보관은 시간적 효용을 창출하는 기능을 수행한다."
5,보관하역론,BH01. 보관론,상,"다음 설명 중 물류시설에 관한 내용으로 옳은 것을 모두 고른 것은?",images/questions/logistics/29회-2/q005.png,"ㄱ, ㄴ, ㄷ","ㄱ, ㄴ, ㄹ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ",5,"공동집배송센터는 여러 화주가 공동으로 이용하는 집배송시설이고, 물류터미널은 하역·보관·분류·포장·가공 등의 물류활동을 수행하는 종합물류시설이다. 스마트물류센터는 자동화·지능화 기술을 활용하며, ICD는 항만과 연결된 내륙의 수출입 컨테이너 처리시설이다. 따라서 ㄱ, ㄴ, ㄷ, ㄹ이 모두 옳다."
6,보관하역론,BH02. 하역론,중,"다음 설명에 해당하는 컨테이너 시설은 무엇인가?",images/questions/logistics/29회-2/q006.png,"Container Yard","Apron","Marshalling Yard","Gate Complex","Container Freight Station",5,"LCL 화물을 목적지별로 분류하거나 혼재하여 컨테이너에 적입·분리하는 시설은 CFS(Container Freight Station)이다."
7,보관하역론,BH02. 하역론,중,"다음 중 보세구역에 대한 설명으로 옳지 않은 것은?",,"보세공장은 수출입 물품의 가공을 허용하는 보세구역이다.","지정보세구역은 통관 전 물품을 일시 보관하는 장소이다.","세관검사장은 세관검사를 위해 지정된 장소이다.","특허보세구역은 지방자치단체장이 허가하는 보세구역이다.","종합보세구역은 여러 보세기능을 하나의 구역에서 수행할 수 있다.",4,"특허보세구역은 지방자치단체장이 아니라 세관장이 특허하는 보세구역이다."
8,보관하역론,BH02. 하역론,상,"다음 자료를 이용하여 무게중심법으로 물류센터의 최적 입지를 계산한 결과로 가장 알맞은 것은?",images/questions/logistics/29회-2/q008.png,"X=24, Y=34","X=26, Y=36","X=28, Y=32","X=30, Y=34","X=32, Y=38",1,"총물동량은 100+200+200=500이다. X좌표는 (20×100+10×200+40×200)÷500=24이고, Y좌표는 (30×100+50×200+20×200)÷500=34이다. 따라서 무게중심법에 따른 최적 입지는 X=24, Y=34이다."
9,보관하역론,BH02. 하역론,상,"다음 중 물류거점 입지선정기법에 대한 설명으로 옳은 것은?",,"총비용비교법은 후보지별 예상 총비용을 비교하여 최적 입지를 선정한다.","브라운-깁슨법은 운송거리만을 기준으로 평가하는 기법이다.","요인분석법은 고정비와 변동비만을 비교하여 입지를 결정한다.","손익분기분석법은 거리와 운송량만을 고려하는 방법이다.","톤-킬로법은 입지의 정성적 요소를 평가하는 방법이다.",1,"총비용비교법은 후보지별 예상비용을 비교하여 가장 경제적인 입지를 선택하는 방법이다."
10,보관하역론,BH01. 보관론,중,"창고설계의 기본 원칙에 대한 설명으로 옳지 않은 것은?",,"직선 흐름을 고려하여 물류 이동을 최소화한다.","설비와 공간을 표준화·모듈화하여 운영 효율을 높인다.","물품 취급 횟수를 줄이도록 설계한다.","물품 이동 시 높이 차이를 최소화하도록 설계한다.","작업자의 이동 동선은 자유롭게 교차되도록 설계하는 것이 효율적이다.",5,"창고 내 사람과 장비의 이동은 교차나 역주행을 최소화하도록 설계하는 것이 원칙이다."
