번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
1,보관하역론,BH01,하,창고 내 물품의 보관 원칙에 관한 설명으로 가장 적절하지 않은 것은?,,출고빈도가 높은 물품은 피킹과 반출 동선을 고려하여 출입구와 가까운 곳에 배치할 수 있다.,중량이 큰 물품은 적재 안정성과 작업안전을 고려하여 낮은 위치에 보관하는 것이 유리하다.,출고빈도가 높은 물품은 재고조사의 편의를 위해 저빈도 품목보다 출입구에서 먼 위치에 배치하는 것이 유리하다.,서로 연관성이 높은 품목을 가까운 위치에 배치하면 함께 출고할 때 이동거리를 줄일 수 있다.,보관위치와 로케이션 번호를 체계적으로 표시하면 물품 탐색시간과 작업오류를 줄이는 데 도움이 된다.,3,"보관위치는 입출고 빈도, 중량, 품목 간 연관성, 작업동선 등을 고려하여 정한다. 출고빈도가 높은 품목은 이동거리를 줄이기 위해 일반적으로 출입구나 피킹 작업지역과 가까운 곳에 배치하는 것이 유리하다."
2,보관하역론,BH02,중,"다음 그림은 보관품목수, 평균보관수량, 재고회전율을 각각 A·B·C 등급으로 구분한 것이다. 품목 P는 보관품목수가 적고 평균보관수량이 많으며 재고회전율이 높고, 품목 Q는 보관품목수가 많고 평균보관수량이 적으며 재고회전율이 낮다. P와 Q의 등급을 순서대로 올바르게 나타낸 것은?",images/questions/logistics/28회-2/q002.png,P: A-A-A / Q: C-C-C,P: A-C-A / Q: C-A-C,P: A-A-C / Q: C-C-A,P: C-A-A / Q: A-C-C,P: C-C-A / Q: A-A-C,1,"그림에서 A는 보관품목수가 적고 평균보관수량이 많으며 재고회전율이 높은 수준을, C는 그 반대 수준을 의미한다. 따라서 P는 A-A-A, Q는 C-C-C이다."
3,보관하역론,BH02,하,복합물류터미널의 기능에 관한 설명으로 가장 적절하지 않은 것은?,,서로 다른 운송수단 사이의 화물 환적을 지원할 수 있다.,화물의 집화와 분류를 통해 운송연계의 효율성을 높일 수 있다.,화물정보의 수집과 처리를 통해 운송 및 터미널 운영을 지원할 수 있다.,복합물류터미널은 장기보관을 중심으로 운영되므로 운송수단 간 환적과 연계운송 기능의 비중은 낮다.,필요에 따라 포장이나 유통가공 등의 부가 물류기능을 수행할 수 있다.,4,복합물류터미널은 둘 이상의 운송수단을 연계하면서 집화·하역·환적·분류·정보처리 등의 기능을 수행하는 물류거점이다. 장기보관이 중심이고 환적·연계운송의 비중이 낮다고 보는 것은 적절하지 않다.
4,보관하역론,BH02,하,물류시설의 기능에 관한 설명으로 가장 적절한 것은?,,CY(Container Yard)는 주로 LCL 화물을 컨테이너에 적입하거나 적출하는 시설이다.,CFS(Container Freight Station)는 주로 LCL 화물의 집화·분류와 컨테이너 적입·적출 작업이 이루어지는 시설이다.,ICD(Inland Container Depot)는 선박이 직접 접안하여 컨테이너를 하역하는 항만시설이다.,배송센터는 주문처리보다 장기 재고보관을 중심으로 운영되는 시설을 의미한다.,컨테이너 터미널의 주된 기능은 컨테이너 보관이며 운송수단 간 환적은 부수적인 기능에 해당한다.,2,"CFS는 주로 LCL 화물을 집화·분류하고 컨테이너에 적입하거나 적출하는 시설이다. CY는 컨테이너의 장치와 인수·인도가 중심이며, ICD는 내륙에서 컨테이너의 집화·보관·통관 등의 기능을 수행할 수 있다."
5,보관하역론,BH03,중,기업이 여러 공장에서 개별적으로 보유하던 제품재고를 지역 물류센터로 통합하여 관리하려 한다. 이러한 운영방식으로 기대하기 가장 어려운 효과는?,,여러 지역의 수요정보를 통합하여 재고운영의 효율성을 높일 수 있다.,공장별로 중복하여 보유하던 안전재고를 줄일 가능성이 있다.,집배송을 통합하여 차량 적재율과 운송효율을 높일 수 있다.,고객과 물류센터의 위치관계에 따라 주문 대응시간이 단축될 수 있다.,지역별 수요를 한 거점에서 통합하면 수요변동의 상쇄효과가 줄어들어 안전재고가 증가하는 것이 일반적이다.,5,재고집중화는 여러 지역의 수요변동이 일부 상쇄되는 위험통합 효과를 통해 안전재고를 줄일 가능성이 있다. 따라서 수요변동의 상쇄효과가 줄어 안전재고가 일반적으로 증가한다는 설명은 적절하지 않다.
6,보관하역론,BH05,하,컨테이너 터미널의 주요 시설에 관한 설명으로 가장 적절하지 않은 것은?,,게이트는 컨테이너와 차량의 터미널 출입을 확인하고 관리하는 시설이다.,CFS(Container Freight Station)는 FCL 컨테이너의 장치와 인수·인도를 중심으로 운영되는 공간이다.,에이프런은 안벽을 따라 본선 하역장비가 작업할 수 있도록 확보된 공간이다.,컨테이너 야드는 컨테이너의 장치와 인수·인도 등에 활용되는 공간이다.,정비시설은 컨테이너나 터미널 장비의 검사·정비 등에 활용될 수 있다.,2,CFS는 주로 LCL 화물의 집화·분류와 컨테이너 적입·적출 작업에 이용된다. FCL 컨테이너의 장치와 인수·인도는 주로 컨테이너 야드(CY)와 관련된다.
7,보관하역론,BH03,중,물류거점의 입지선정 방법에 관한 설명으로 가장 적절하지 않은 것은?,,요인평가법은 입지에 영향을 주는 여러 요인에 가중치를 부여하여 후보지를 비교하는 데 활용할 수 있다.,총비용비교법은 후보지별 예상비용을 산출하여 총비용이 낮은 대안을 찾는 데 활용할 수 있다.,손익분기분석은 후보지별 고정비와 변동비를 이용하여 물동량 수준에 따른 경제성을 비교할 수 있다.,무게중심법은 후보지의 고정비와 단위당 변동비를 이용하여 물동량별 비용 우위를 비교하는 방법이다.,톤-킬로법은 물동량과 운송거리 등을 이용하여 운송부담을 정량적으로 비교하는 데 활용할 수 있다.,4,후보지별 고정비와 변동비를 이용해 물동량에 따른 비용 우위를 비교하는 것은 손익분기분석의 설명이다. 무게중심법은 수요지의 위치와 물동량 등을 가중하여 물류거점의 후보 좌표를 산정하는 방법이다.
8,보관하역론,BH03,하,물류센터의 규모와 내부설계를 결정할 때 일반적으로 고려해야 할 사항과 가장 관련이 적은 것은?,,주요 거래처에 적용되는 판매가격 할인율,일일 주문건수와 주문빈도,취급화물의 크기와 중량,보관설비와 자동화 수준,입고·피킹·포장·출고의 작업흐름,1,"물류센터의 규모와 내부설계에는 주문특성, 화물특성, 설비 수준, 작업흐름, 필요 보관면적 등이 직접적인 영향을 준다. 거래처별 판매가격 할인율은 센터 내부설계를 결정하는 핵심 요소와는 거리가 있다."
9,보관하역론,BH03,중,"한 기업이 무게중심법을 이용하여 신규 물류센터의 입지를 결정하려 한다. 각 수요지의 좌표와 월간 물동량이 다음과 같을 때 물류센터의 좌표로 가장 적절한 것은? 단, 물류센터 자체의 공급량과 정성적 입지요인은 고려하지 않는다.",images/questions/logistics/28회-2/q009.png,"X=70, Y=52","X=74, Y=54","X=78, Y=56","X=82, Y=58","X=86, Y=60",3,"무게중심법에서는 각 좌표를 물동량으로 가중평균한다. 수요지가 각각 (20,30) 100톤, (60,40) 200톤, (80,70) 300톤, (100,60) 400톤이라면 X=(100×20+200×60+300×80+400×100)÷1,000=78이고, Y=(100×30+200×40+300×70+400×60)÷1,000=56이다. 따라서 좌표는 (78,56)이다."
10,보관하역론,BH06,상,"자동창고의 S/R(Storage/Retrieval) 장비에서 단일명령 1회 수행시간은 3분, 이중명령 1회 수행시간은 5분이다. 1시간 동안 저장 요청 10건과 반출 요청 10건이 발생했다. 이 중 저장 6건과 반출 6건을 서로 짝지어 이중명령 6회로 처리하고, 남은 저장 4건과 반출 4건은 단일명령 8회로 처리할 때 S/R 장비의 가동률은?",,82%,84%,86%,88%,90%,5,"이중명령은 6회이므로 6×5=30분, 단일명령은 8회이므로 8×3=24분이 소요된다. 총 작업시간은 54분이며 가동률은 54÷60×100=90%이다."
