번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
1,물류관리론,LM01,중,"물류관리의 기본적인 역할에 관한 설명으로 가장 적절하지 않은 것은?",,"운송은 재화를 필요한 장소로 이동시켜 장소적 효용을 창출하는 기능을 수행한다.","보관은 생산시점과 소비시점의 차이를 조정하여 시간적 효용을 창출하는 기능을 수행한다.","포장은 제품을 보호할 뿐 아니라 운송·보관·하역의 효율성에도 영향을 줄 수 있다.","물류정보는 주문·재고·운송 등의 정보를 연계하여 물류활동의 의사결정을 지원할 수 있다.","물류관리는 각 물류기능의 비용을 개별적으로 최소화하는 것을 우선하며 기능 간 상충관계는 고려하지 않는다.",5,"물류관리는 운송·보관·재고·하역·포장·정보 등 개별 기능을 각각 최소비용으로 운영하는 것만을 목적으로 하지 않는다. 예를 들어 운송빈도를 줄이면 운송비는 감소할 수 있지만 재고비가 증가할 수 있다. 따라서 고객서비스 수준과 총물류비 및 기능 간 상충관계를 종합적으로 고려하는 것이 중요하다."
2,물류관리론,LM01,하,"최근 물류환경의 변화에 관한 설명으로 가장 적절하지 않은 것은?",,"온라인 주문의 증가로 소량·다빈도 배송에 대한 대응능력이 중요해지고 있다.","공급망의 불확실성이 커지면서 재고와 운송을 연계한 위험관리가 중요해지고 있다.","소비자의 요구가 다양해지면서 물류서비스의 유연성과 신속성이 강조되고 있다.","물류정보기술이 발전함에 따라 주문·재고·배송정보의 실시간 활용 필요성이 감소하고 있다.","기업은 전문 물류기업을 활용하여 물류서비스 개선과 비용 효율화를 추구할 수 있다.",4,"전자상거래 확대와 공급망 복잡성 증가는 실시간 주문·재고·배송정보의 중요성을 오히려 높인다. 물류정보기술은 공급망의 가시성과 의사결정 능력을 향상시키는 방향으로 활용된다."
3,물류관리론,LM01,하,"물류활동과 그 기능에 관한 설명으로 옳지 않은 것은?",,"운송은 재화를 필요한 장소로 이동시켜 장소적 효용을 창출한다.","보관은 생산시점과 소비시점의 차이를 조정하여 시간적 효용을 창출한다.","하역은 화물의 적재·하차·이동 등 운송과 보관을 연결하는 작업을 포함한다.","포장은 제품을 보호하는 기능뿐 아니라 취급과 운송의 효율성을 높이는 기능도 수행할 수 있다.","유통가공은 제품의 소유권을 생산자로부터 구매자에게 이전하여 소유효용을 직접 창출하는 활동이다.",5,"유통가공은 고객 요구에 맞추어 절단·조립·분류·라벨링·재포장 등의 가공을 수행하는 물류활동이다. 제품의 소유권 이전 자체는 거래활동에 해당하므로 유통가공의 기능으로 보기 어렵다."
4,물류관리론,LM01,중,"물류관리의 기본 원칙과 설명의 연결로 가장 적절한 것은?",,"균형성의 원칙 - 물류과정에서 불필요한 단계와 중복작업을 제거하여 흐름을 간결하게 만드는 원칙","단순성의 원칙 - 조달·생산·판매 등 물류 관련 기능 간 능력과 흐름의 균형을 유지하는 원칙","적시성의 원칙 - 필요한 물품을 필요한 수량만큼 요구되는 시점에 공급할 수 있도록 관리하는 원칙","경제성의 원칙 - 재고와 운송능력을 최대 수준으로 확보하여 품절 가능성을 완전히 제거하는 원칙","신뢰성의 원칙 - 물류비가 증가하더라도 모든 고객에게 최고 수준의 서비스를 일률적으로 제공하는 원칙",3,"적시성의 원칙은 필요한 물품을 필요한 시점과 수량에 맞추어 공급함으로써 고객서비스와 재고효율을 높이는 것을 의미한다. 균형성은 물류기능 간 균형, 단순성은 불필요한 단계의 제거, 경제성은 투입자원 대비 물류효과의 극대화와 관련된다."
5,물류관리론,LM05,상,"B기업의 연간 매출액은 4,800억원, 영업이익은 120억원, 연간 물류비는 360억원이다. 다른 조건이 동일할 때 물류비를 10% 절감하여 얻는 영업이익 증가액과 동일한 효과를 매출 증가만으로 달성하려면 추가 매출액은 얼마인가? 단, 기존 영업이익률이 추가 매출에도 동일하게 적용된다고 가정한다.",,"720억원","1,080억원","1,200억원","1,440억원","1,800억원",4,"물류비 절감액은 360억원×10%=36억원이다. 기존 영업이익률은 120억원÷4,800억원=2.5%이다. 매출 증가를 통해 36억원의 추가 영업이익을 얻으려면 36억원÷0.025=1,440억원의 추가 매출이 필요하다. 따라서 정답은 ④이다."
6,물류관리론,LM01,중,"A기업은 고객서비스 수준을 개선하기 위한 대안을 검토하고 있다. 물류서비스와 물류비용의 관계에 관한 설명으로 가장 적절한 것은?",,"안전재고를 증가시키면 품절 가능성과 재고유지비가 동시에 감소하는 경향이 있다.","배송빈도를 높이면 고객의 주문대응력은 향상될 수 있으나 운송비가 증가할 가능성이 있다.","물류거점의 수를 늘리면 고객과의 평균 배송거리가 길어지므로 배송시간이 증가하는 것이 일반적이다.","긴급운송의 활용을 확대하면 배송시간과 운송비를 동시에 낮추는 효과를 기대할 수 있다.","고객서비스 수준과 물류비용 사이에는 상충관계가 존재하지 않으므로 각각 독립적으로 결정하는 것이 바람직하다.",2,"배송빈도를 높이면 주문에 대한 대응시간을 단축하고 고객서비스 수준을 높일 수 있지만 차량운행 횟수 증가 등으로 운송비가 증가할 수 있다. 안전재고 증가는 품절위험을 낮추지만 재고유지비를 증가시킬 수 있으며, 물류서비스 수준은 비용과의 상충관계를 고려하여 결정해야 한다."
7,물류관리론,LM01,하,"기업의 물류영역에 관한 설명으로 옳지 않은 것은?",,"조달물류는 원재료와 부품을 공급자로부터 생산거점까지 이동시키는 활동과 관련된다.","생산물류는 생산공정 내부에서 발생하는 자재·재공품 등의 이동과 관리활동을 포함한다.","판매물류는 완제품이 생산된 이후 고객에게 전달되는 과정의 물류활동을 포함한다.","회수물류는 판매 후 발생하는 반품·회수용기·재활용 대상품 등의 역방향 흐름과 관련된다.","폐기물류는 고객에게 판매할 완제품을 생산공장에서 지역 물류센터로 이동시키는 활동을 의미한다.",5,"완제품을 생산공장에서 물류센터나 고객 방향으로 이동시키는 것은 판매물류에 해당한다. 폐기물류는 사용가치가 없거나 처분이 필요한 물품을 수거·운반·처리하는 활동과 관련된다."
8,물류관리론,LM02,중,"마케팅 활동과 물류활동의 상호관계에 관한 설명으로 가장 적절하지 않은 것은?",,"제품의 판매촉진으로 수요가 증가하면 재고·보관·운송능력에 대한 추가적인 대응이 필요할 수 있다.","고객이 요구하는 배송시간을 단축하기 위해 재고배치나 물류거점 운영방식을 조정할 수 있다.","제품의 포장규격을 변경하면 운송수단의 적재효율이나 보관공간 활용률에 영향을 줄 수 있다.","높은 재고가용성은 판매기회 상실을 줄이는 데 도움이 될 수 있지만 재고유지비 증가를 수반할 수 있다.","판매가격의 인하는 마케팅 영역의 의사결정이므로 주문량이나 물동량이 변하더라도 물류운영계획에는 영향을 미치지 않는다.",5,"가격이나 판매촉진 등의 마케팅 의사결정은 수요와 주문량을 변화시킬 수 있으며 이는 재고, 보관, 운송, 주문처리 등 물류활동에 영향을 준다. 따라서 마케팅과 물류는 서로 독립된 기능으로만 볼 수 없으며 비용과 고객서비스를 함께 고려한 조정이 필요하다."
9,물류관리론,LM02,상,"한 기업이 물류계획을 전략적·구조적·기능적·실행적 수준으로 구분하고 있다. 다음 중 구조적 수준의 의사결정에 해당하는 것만을 고른 것은?",,"물류 네트워크의 거점 수와 위치 결정 / 유통경로 구조 설계","일일 차량 배차계획 수립 / 피킹 작업순서 결정","고객서비스 목표 설정 / 장기 물류역량 방향 결정","창고 작업자의 근무시간 편성 / 당일 출고 우선순위 결정","운송수단별 적재계획 수립 / 설비의 일일 작업량 결정",1,"구조적 수준에서는 물류 네트워크와 유통경로 등 물류시스템의 기본 구조를 설계하는 의사결정을 수행한다. 고객서비스와 같은 장기 방향은 전략적 수준에 가깝고, 일상적인 배차·피킹·작업순서 등의 결정은 기능적 또는 실행적 수준의 성격이 강하다."
10,물류관리론,LM08,중,"4PL(Fourth Party Logistics)의 특성에 관한 설명으로 가장 적절하지 않은 것은?",,"화주의 공급사슬 전반을 대상으로 물류자원과 서비스 제공자를 통합·조정하는 역할을 수행할 수 있다.","물류기업뿐 아니라 정보기술 및 컨설팅 역량을 결합하여 공급망 개선방안을 제시할 수 있다.","개별 운송이나 보관업무의 수행보다 여러 물류자원과 참여기업을 통합적으로 관리하는 역할이 강조된다.","화주의 공급망 성과 개선을 위해 정보시스템과 전문지식을 활용할 수 있다.","4PL의 핵심 목적은 자체 운송차량과 창고를 최대한 많이 보유하여 자산 규모를 확대하는 데 있다.",5,"4PL은 공급망 전체의 설계·통합·조정을 중시하며 다양한 물류서비스 제공자와 정보기술 및 컨설팅 역량을 활용한다. 자체 차량·창고 등 물류자산의 보유 확대 자체가 4PL의 핵심 목적은 아니다."
